customer_key,customer_id,age,gender,state,city,customer_type,customer_segment,loan_type,customer_since_date,age_group,region
25,54db58d8-0f67-4966-8c34-cfcf84a70d66,43,M,Maharashtra,Pune,Retail,Mass,Home Loan,2025-10-03,36-45,West
26,81d167bf-cde6-4013-a71a-6967aafa8527,40,M,Maharashtra,Mumbai,Retail,Wealth,Personal Loan,2021-12-19,36-45,West
27,7644dbb7-e99c-4c11-9d8b-e84f3d1fc390,31,M,Delhi,Delhi,Retail,Mass,Credit Card,2024-10-10,26-35,North
28,6336bd89-f783-4999-ae2e-d7485644424b,38,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2022-03-03,36-45,West
29,1a469631-09e8-4e0e-b427-7e3123ab16c4,34,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2023-12-13,26-35,West
30,e16e87ab-2bf5-42df-a8aa-49a24602a3a1,28,M,Tamil Nadu,Chennai,Retail,Wealth,Credit Card,2021-08-27,26-35,South
31,0e9e3dbf-5a14-4659-b1db-c33f408a1ff8,34,M,Maharashtra,Pune,SME,Wealth,Credit Card,2025-05-15,26-35,West
32,b6c516d7-29f0-4367-af10-4f5e98a429ad,40,M,Rajasthan,Jaipur,Retail,Mass,Credit Card,2024-03-22,36-45,North
33,b4b49bf4-1f38-472b-8954-3de7344523ff,28,M,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2024-11-18,26-35,South
34,0b55ae82-c829-4cfb-b4f6-330c0ba1f629,28,F,Delhi,Delhi,Retail,Mass,Personal Loan,2023-08-13,26-35,North
35,053fab60-2b01-4b67-8e3c-fe226ad20b02,21,M,Delhi,Delhi,Retail,Mass,None,2022-12-05,18-25,North
36,a2de61b3-9671-4b7c-8e66-7996a1e2c89d,42,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2025-01-30,36-45,West
37,3649bac1-0f16-4e31-821e-32069135c0fe,44,F,Maharashtra,Mumbai,Retail,Premium,Home Loan,2022-05-09,36-45,West
38,e818f455-9d93-4fe8-8b8a-97e09e198a68,40,M,Delhi,Delhi,Retail,High Value,Credit Card,2020-09-20,36-45,North
39,6c53d7bc-467a-4b31-852a-6dffc47c07f4,49,F,Karnataka,Bengaluru,Retail,Mass,Home Loan,2025-10-07,46-55,South
40,aaa57b9b-c83e-4ee3-81b4-ea9b9e7e72da,39,M,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2025-07-13,36-45,South
41,b7560db7-98c6-4edf-a1e3-570ae0d7b25e,42,M,Delhi,Delhi,Retail,Mass,Credit Card,2020-10-15,36-45,North
42,600d9698-333b-401a-87f3-0242e83fdb18,41,M,Uttar Pradesh,Noida,Retail,Mass,Credit Card,2022-06-13,36-45,North
43,91e2f132-9a63-45d6-9893-817a464c3b23,36,F,Maharashtra,Pune,Retail,Mass,Personal Loan,2020-12-19,36-45,West
44,4e46ce15-01c9-443c-b403-7670aaa27c18,31,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-02-21,26-35,South
45,e596350c-3fa9-4b25-81f2-ceb76c0a03fb,64,M,Uttar Pradesh,Noida,Retail,Wealth,Credit Card,2022-01-28,56-65,North
46,b0cfd6cc-d9da-4a0f-bb1e-24e32cd7b8ae,32,M,Haryana,Gurugram,Corporate,Mass,Auto Loan,2025-02-20,26-35,North
47,0a88a0f6-3e86-4f90-999e-40b26a6b4b43,30,M,Delhi,Delhi,Retail,High Value,Credit Card,2023-03-15,26-35,North
48,a0c3372c-3169-47ed-822c-fa0f50c4146e,43,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2024-01-02,36-45,South
49,7fc89cad-29fc-4c6f-9302-a16a28cef51f,41,F,Tamil Nadu,Chennai,Retail,Mass,None,2021-06-09,36-45,South
50,a86fbd50-8f2f-48b8-bd5c-4f10b6cb248b,21,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-10-07,18-25,West
51,f3bb229e-5b5a-45dd-a565-7d5a942f43dc,51,F,Maharashtra,Mumbai,Retail,High Value,Personal Loan,2025-11-26,46-55,West
52,2b0f7fdf-076c-4346-9386-dea3226dfde3,36,M,Maharashtra,Mumbai,Retail,Mass,None,2022-12-15,36-45,West
53,845f9caa-c15a-4b55-83e4-7eb640b8ba40,24,F,Haryana,Gurugram,Retail,Mass,Home Loan,2020-09-09,18-25,North
54,bbbd1dae-3ccb-4789-954c-6c1a397f3e85,52,F,Tamil Nadu,Chennai,Retail,Premium,Auto Loan,2020-07-22,46-55,South
55,cca52780-9468-49db-94e3-f400180a70d7,45,M,Maharashtra,Pune,Retail,Premium,Home Loan,2022-10-02,36-45,West
56,c625d625-ac21-4e8a-8f88-8bb1e3d5b734,22,F,Haryana,Gurugram,Retail,Premium,Credit Card,2023-08-26,18-25,North
57,08737f20-673b-48de-b68c-6282889f98d1,59,M,Delhi,Delhi,Corporate,Mass,Personal Loan,2024-07-05,56-65,North
58,72871fb0-136c-4bc9-943e-fdb3fa969611,45,F,Telangana,Hyderabad,Corporate,Mass,Personal Loan,2020-07-31,36-45,South
59,9315fa84-0422-4c34-91ed-9990dd35c325,37,F,Maharashtra,Mumbai,Retail,Premium,Auto Loan,2024-12-31,36-45,West
60,7a941c61-b91b-47d7-b5ff-c73060fe9fc9,57,F,Maharashtra,Mumbai,Retail,Premium,Auto Loan,2025-04-24,56-65,West
61,437b1c9c-aa2e-4dbe-bc41-06b40e203b94,39,M,Tamil Nadu,Chennai,Retail,Premium,Credit Card,2023-03-22,36-45,South
62,df2741fc-1aa8-477a-a67f-7dc06cec71a3,37,M,Delhi,Delhi,Retail,Mass,Credit Card,2023-11-09,36-45,North
63,1c5a2655-0ffd-4056-bcdb-02167452e1a3,30,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2023-04-16,26-35,South
64,f9802328-6084-4de9-9cef-8224307acce5,44,F,Maharashtra,Pune,Retail,High Value,Personal Loan,2021-01-24,36-45,West
65,d2824b47-2a07-487b-a792-7ac6703c5ace,43,M,Tamil Nadu,Chennai,Corporate,Premium,Auto Loan,2024-07-11,36-45,South
66,15f2e22c-70e6-44bf-8d51-9c3136b22b5b,38,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2021-03-15,36-45,South
67,081dc0e7-25c7-4db5-a2a6-ec884bcbb396,28,M,Telangana,Hyderabad,Retail,High Value,Credit Card,2024-11-04,26-35,South
68,3d5abc86-f728-43f4-8050-13267ace1fed,39,F,Karnataka,Bengaluru,Retail,Mass,Auto Loan,2024-03-25,36-45,South
69,a034b610-0fb4-4c5f-bd95-d278605a3a25,37,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2025-12-24,36-45,West
70,00ef19bb-94b3-4aca-9cd3-7ca7b1a22d26,21,M,Delhi,Delhi,SME,Mass,Credit Card,2022-04-15,18-25,North
71,b09a0bd0-ac15-43a1-8bf2-42b4a7a24b4c,20,M,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2021-04-21,18-25,South
72,53af975f-1c46-4a93-b633-c44bc9a92225,44,F,Delhi,Delhi,Retail,Mass,Personal Loan,2021-02-24,36-45,North
73,6f802b01-0be3-4982-92a8-ac2bac6ebd6b,18,F,Uttar Pradesh,Noida,Retail,Mass,Personal Loan,2025-02-01,18-25,North
74,d3ab3714-de4f-497f-a106-9b4c15ae8007,40,F,Karnataka,Bengaluru,Retail,Premium,Personal Loan,2021-10-21,36-45,South
75,4dd6ba58-f2f9-4293-b4d2-8f67cbf91fd1,32,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-03-25,26-35,West
76,26bed209-95d9-40fc-833a-d241327721f9,53,O,Karnataka,Bengaluru,Retail,High Value,Personal Loan,2022-07-25,46-55,South
77,c6c92d19-8d4b-4379-be3a-9ff2e9d38923,32,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-02-27,26-35,South
78,cc26f995-248e-466a-8648-0b5c7a557616,45,M,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2025-03-02,36-45,South
79,f70ede28-4122-4072-96a8-33ae1938a8f2,33,M,Telangana,Hyderabad,Retail,Premium,None,2025-05-25,26-35,South
80,462cdfd0-72c0-4989-8e6e-7247b1aa839b,39,F,Haryana,Gurugram,Retail,Premium,Personal Loan,2025-08-08,36-45,North
81,fa98f0da-15e5-4fb5-bea3-ed4c8dfda01a,46,F,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2022-02-15,46-55,South
82,d3b012df-a1f6-4005-a54c-380c6083c176,32,F,Delhi,Delhi,Retail,Premium,Auto Loan,2022-08-21,26-35,North
83,74a2c994-25c4-4242-85e0-e4f426234d77,49,F,Haryana,Gurugram,Retail,High Value,Personal Loan,2025-05-08,46-55,North
84,65c09752-0278-4f6a-8ddc-b35625186e97,26,M,Maharashtra,Mumbai,Retail,Premium,Credit Card,2023-04-07,26-35,West
85,7503e2c8-f45e-4751-97c7-3ac0c369fec1,41,M,Maharashtra,Mumbai,Retail,Premium,Home Loan,2021-08-24,36-45,West
86,fa070f74-ae89-4ef9-b665-67b57c7c5192,49,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-09-12,46-55,West
87,24b35797-27c7-4fe9-b6df-acb7de0e8fb6,45,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2022-09-08,36-45,West
88,2501f61e-ff1f-4c5f-b966-c7219397ed03,60,M,Delhi,Delhi,Corporate,Mass,Credit Card,2024-05-26,56-65,North
89,199a98e5-fc61-45e3-905e-60854eb5d13f,28,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-07-28,26-35,West
90,c8f5953a-c569-4659-a172-490c1a1dc263,21,F,Telangana,Hyderabad,Retail,Premium,Credit Card,2023-11-09,18-25,South
91,30b20627-2d25-4cfa-bf8e-856bd605637a,26,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2024-01-28,26-35,West
92,fb63c0ff-7448-4210-9992-584e0d606b3e,45,M,Tamil Nadu,Chennai,Retail,Mass,Personal Loan,2023-04-16,36-45,South
93,898bf021-bc75-4d24-a64b-d2eb0f793be0,43,M,Delhi,Delhi,Retail,Mass,Home Loan,2024-11-17,36-45,North
94,35d2e749-4965-4aa4-8d37-42bedf6f2b78,39,M,Delhi,Delhi,Retail,Mass,Personal Loan,2023-11-13,36-45,North
95,3a0c7321-7383-422d-9885-c4afeeab6650,24,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-08-06,18-25,South
96,1e9a4441-b1c0-4aa4-9205-87e225008ae1,47,M,Tamil Nadu,Chennai,Retail,Premium,Credit Card,2023-11-19,46-55,South
97,2f643e12-4d39-4095-afa7-c22b31efc33e,23,M,Delhi,Delhi,Retail,Mass,Auto Loan,2022-05-30,18-25,North
98,0c2299f9-877e-45d7-8e48-3441d98919c4,51,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-05-15,46-55,West
99,05282a14-494e-4902-9e00-c9148c7b5a0d,72,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2025-04-01,65+,West
100,e721d488-823a-4d6b-9ae8-6b374a6c0154,42,M,Rajasthan,Jaipur,SME,Premium,Credit Card,2021-04-06,36-45,North
101,b2283d4a-a489-41a2-bcba-f3b716e8c33d,44,M,Gujarat,Ahmedabad,Retail,Mass,Credit Card,2023-06-23,36-45,West
102,01fa9ade-2d85-41f7-a4d8-604fc140dfcc,32,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2022-09-01,26-35,South
103,290d33a0-1d2e-40cd-bfbc-27214387c76c,18,M,Karnataka,Bengaluru,Retail,Mass,Auto Loan,2021-12-14,18-25,South
104,8d56151b-d7f8-4568-9ea2-b4c9bb28abfa,30,M,Rajasthan,Jaipur,Retail,Mass,Personal Loan,2025-03-15,26-35,North
105,058d0c0c-ba99-4243-8df2-1122dccb1156,24,M,Maharashtra,Pune,Retail,High Value,Personal Loan,2020-09-05,18-25,West
106,e12568c0-9d13-41f3-9743-13cd74a97382,20,F,Maharashtra,Pune,Retail,Premium,Credit Card,2023-09-07,18-25,West
107,d3391f3f-aca3-4458-83e1-e62d23136544,58,M,Delhi,Delhi,Retail,Wealth,Personal Loan,2021-02-17,56-65,North
108,a99ac5be-a877-446a-8ea1-96c423928e70,41,F,Karnataka,Bengaluru,Retail,High Value,Credit Card,2023-09-21,36-45,South
109,62feab57-cc8e-4a4d-a18f-a735c0d03c63,42,M,Maharashtra,Mumbai,Retail,Mass,Home Loan,2023-10-13,36-45,West
110,8d0d99ff-9e51-45a2-9549-7b6ab746efb1,34,M,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2022-09-18,26-35,West
111,7d12164b-ebd8-4ee5-9cd3-a7a724746a4f,35,M,Delhi,Delhi,SME,Mass,Credit Card,2024-12-16,26-35,North
112,37170b9c-1d19-4313-bb0e-295d45a26115,49,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2022-09-02,46-55,South
113,23e8b223-d6c9-4ecc-8886-f7bbcec1b7c5,37,M,Karnataka,Bengaluru,Retail,Mass,Credit Card,2020-08-14,36-45,South
114,208b5146-c95e-403b-a4ac-f714a7bf160e,44,F,Telangana,Hyderabad,Retail,Mass,Credit Card,2022-06-21,36-45,South
115,238d9f37-ce2c-467f-8089-bfd884a0e9c8,35,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2025-08-14,26-35,West
116,fb1e0996-33c1-4886-a53e-597ce9a23796,33,F,Uttar Pradesh,Noida,SME,Mass,Personal Loan,2022-03-08,26-35,North
117,e244ea86-16f2-49c0-9e07-cf21420aae56,21,M,Maharashtra,Pune,Retail,Premium,None,2025-10-27,18-25,West
118,ede9944a-0629-4632-8593-993064ea955a,18,M,Maharashtra,Pune,Retail,Premium,Auto Loan,2025-06-09,18-25,West
119,54c40bcd-cdf2-4636-b0e6-c3fa800c3b3b,34,M,Delhi,Delhi,Retail,Wealth,Home Loan,2024-06-11,26-35,North
120,641c5b79-08fe-4e34-ad91-5ff18cfad28c,38,M,Tamil Nadu,Chennai,Retail,Mass,Auto Loan,2024-05-02,36-45,South
121,5b50f829-256d-4799-957d-acd37d92e8b8,22,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2025-12-25,18-25,South
122,0722159b-f37b-46bf-be57-e2d95327e04e,37,F,Tamil Nadu,Chennai,Corporate,Wealth,Credit Card,2025-11-28,36-45,South
123,f4717260-6487-437b-8106-471f26eb0e66,38,F,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2021-09-06,36-45,West
124,5b8c0e3c-e39a-440b-b425-e531665147bf,18,O,Delhi,Delhi,Retail,Mass,Auto Loan,2023-07-07,18-25,North
125,9365ca18-8123-4f25-a109-3e38d8f3c34f,27,M,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2024-11-28,26-35,West
126,318c59c6-20f5-4217-ab8e-3cd633ad7ba0,42,F,Delhi,Delhi,Retail,Mass,Personal Loan,2023-08-27,36-45,North
127,218e6812-b7d7-4cf1-acbe-def5795ec5b1,42,F,Karnataka,Bengaluru,Corporate,High Value,Credit Card,2022-03-18,36-45,South
128,47693ca8-e743-4600-83e4-4904d3f714dd,24,F,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2021-12-25,18-25,West
129,46b94546-2bff-40a4-bab9-0a17e79bd4f7,39,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2024-06-04,36-45,West
130,516ebcd4-3716-49b0-b520-28525579ff43,50,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2025-02-01,46-55,South
131,dc7f8164-97ce-43db-a990-83a7a9687a90,47,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2020-10-01,46-55,West
132,5c9809fe-95c0-40f9-8edf-baeeb0001630,36,F,West Bengal,Kolkata,Retail,Mass,Auto Loan,2022-07-19,36-45,East
133,3551a6c0-8b71-44bd-9007-167be18a25da,32,M,Telangana,Hyderabad,Retail,Premium,Credit Card,2020-08-15,26-35,South
134,703f99d7-b138-45b8-85ae-a66db1feb026,30,F,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2024-04-28,26-35,South
135,c929c24e-0738-4934-9431-6630010caa28,43,M,Telangana,Hyderabad,Retail,Mass,Personal Loan,2025-05-24,36-45,South
136,a13c82cd-cb72-4b11-a36a-69144751f7a7,40,F,Maharashtra,Mumbai,Retail,Mass,Personal Loan,2023-11-30,36-45,West
137,b64b8147-f56f-4075-8bc9-3ac5f4edf6f1,45,F,Rajasthan,Jaipur,Retail,High Value,Personal Loan,2024-03-17,36-45,North
138,1b3b4977-2f99-4124-8c43-2b4f3a0d7cb1,39,M,Delhi,Delhi,Retail,Mass,Credit Card,2022-01-24,36-45,North
139,72bca151-94bb-4e63-9bda-a4b547fd047b,47,M,Haryana,Gurugram,Retail,Mass,Personal Loan,2022-01-30,46-55,North
140,f6d5fdef-9ad0-42b6-b24b-7afb4a029af7,39,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2025-08-11,36-45,West
141,555fb17f-706f-45b8-9d97-c98f1a5deeee,47,M,Delhi,Delhi,Retail,Premium,Personal Loan,2022-10-14,46-55,North
142,50dd20ff-5bf1-4ad5-a164-9e679b3eaf91,48,M,Delhi,Delhi,Retail,Premium,Auto Loan,2024-02-16,46-55,North
143,70249dc7-2653-4314-90aa-25c4452893d5,28,F,West Bengal,Kolkata,Retail,High Value,Personal Loan,2022-08-21,26-35,East
144,3cff711e-81cb-4a3c-9ca9-81fc7ef0ce31,18,F,Telangana,Hyderabad,Retail,Mass,Personal Loan,2023-11-11,18-25,South
145,d5800e70-469f-416f-946b-3aec60ad86bc,56,F,Delhi,Delhi,Retail,High Value,Credit Card,2023-01-23,56-65,North
146,35672fc1-384a-4abb-a158-5de4967568a4,41,M,Karnataka,Bengaluru,Retail,High Value,Personal Loan,2022-01-31,36-45,South
147,98966b31-19ae-4c60-b6bd-6a3f88642b6a,18,M,Karnataka,Bengaluru,Retail,Mass,Auto Loan,2024-05-25,18-25,South
148,1904494e-6c06-4e35-b64f-04c12328dff3,29,M,Telangana,Hyderabad,Retail,Premium,Personal Loan,2024-11-29,26-35,South
149,51aaa7be-3321-49cf-b6f6-346b3468fe0a,47,F,Delhi,Delhi,Retail,Mass,Credit Card,2022-02-20,46-55,North
150,e67593f6-3b56-4e81-bb94-5f5b3b9771f7,34,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2020-10-25,26-35,West
151,8c7dccbc-50cd-4c0d-a681-d1c77f4701cf,31,M,Haryana,Gurugram,Corporate,Mass,Home Loan,2023-07-28,26-35,North
152,80e38e78-1634-45a5-ba44-629ea98a4b2e,54,M,Gujarat,Ahmedabad,Retail,Mass,Credit Card,2020-07-16,46-55,West
153,f2a58ebf-97e6-4f14-b529-1289dcf19212,25,F,Maharashtra,Mumbai,Retail,Wealth,Home Loan,2024-12-28,18-25,West
154,d7cc7363-342c-4527-9598-5e5eb27d2f04,28,M,Telangana,Hyderabad,Retail,Mass,Credit Card,2021-07-09,26-35,South
155,bc404743-7a63-4e36-825c-15b95edfa79c,40,F,Maharashtra,Mumbai,Retail,Mass,Credit Card,2020-08-04,36-45,West
156,549988b1-0597-4347-bc50-7db859ebd84f,42,F,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2024-05-12,36-45,South
157,fcb6ce96-cea8-48b4-8389-52866cc8d676,43,F,Karnataka,Bengaluru,Retail,Mass,Credit Card,2025-03-12,36-45,South
158,1ea6c1a5-fe06-4653-98cb-39d6d9d73ea2,48,M,Tamil Nadu,Chennai,Retail,Mass,Credit Card,2022-05-15,46-55,South
159,dad09f91-c483-4030-b957-68d206178176,40,M,Maharashtra,Pune,Retail,Mass,Personal Loan,2021-03-30,36-45,West
160,bb264b7c-4d7f-4c41-a9ad-f6a8af42f24d,43,M,Maharashtra,Pune,Retail,Premium,Personal Loan,2025-07-19,36-45,West
161,ae08d77d-3af2-4392-b0ed-d8422aefd086,34,M,Maharashtra,Mumbai,Retail,Wealth,Credit Card,2022-06-30,26-35,West
162,2672406a-e53c-42e0-8fa2-032807c1159c,38,F,West Bengal,Kolkata,Retail,Mass,Personal Loan,2021-03-26,36-45,East
163,ff861835-e708-4771-94c9-62de9f2f672d,39,M,Karnataka,Bengaluru,Retail,Wealth,Credit Card,2025-10-29,36-45,South
164,2eb782e5-c23f-438a-9f89-92c461ca9c5f,40,M,Maharashtra,Mumbai,Retail,Premium,Personal Loan,2023-03-07,36-45,West
165,97228cea-3027-40c3-826c-dc3f29b33257,47,M,Telangana,Hyderabad,Retail,Premium,Credit Card,2025-08-01,46-55,South
166,556e30c7-0b1b-4916-849a-ecdbc9eeaf1d,44,F,Delhi,Delhi,Retail,Mass,Credit Card,2025-01-14,36-45,North
167,5eb62436-9162-4d41-8d8f-8753e1b28d2e,38,M,Haryana,Gurugram,Retail,Mass,Credit Card,2023-05-05,36-45,North
168,ffe38473-7134-4131-b4a1-b4884819f2e0,28,F,Haryana,Gurugram,Retail,High Value,Credit Card,2024-03-18,26-35,North
169,e5280483-8b8b-4679-a911-8345b0527167,38,M,Karnataka,Bengaluru,Retail,Mass,Personal Loan,2025-07-15,36-45,South
170,c13c88f2-d549-4240-838c-bd999bca6196,37,F,Rajasthan,Jaipur,Retail,Mass,Personal Loan,2021-08-14,36-45,North
171,d2e3b6ca-985f-4e7e-9bd6-1b8fa7013e0b,40,F,Karnataka,Bengaluru,Retail,Premium,Credit Card,2024-11-22,36-45,South
172,a513b846-61a0-424c-8c90-61ee73da48f7,64,M,Telangana,Hyderabad,Retail,Mass,Home Loan,2021-03-28,56-65,South
173,84fda9b4-c967-4951-acf9-0bd3bda65ff6,31,M,Karnataka,Bengaluru,Retail,Premium,Credit Card,2025-01-13,26-35,South
174,2cbf86d2-ac9e-4c7c-b626-e6f6e94eefb1,43,M,West Bengal,Kolkata,Retail,Mass,Credit Card,2023-02-27,36-45,East
175,5130295c-31fb-468b-b87a-d02fe4ece10c,50,M,Maharashtra,Mumbai,Retail,High Value,Credit Card,2022-01-08,46-55,West
176,bf20aed1-8ce5-49e1-a66d-98153b7ac0fa,39,M,Maharashtra,Mumbai,Retail,Mass,Credit Card,2023-05-17,36-45,West
177,ceb03696-817b-4fbd-bd08-6c32982e5227,66,F,Delhi,Delhi,Retail,Mass,Credit Card,2023-09-20,65+,North
178,04de5d93-c1fd-4799-b118-d22a946ba115,33,F,Andhra Pradesh,Visakhapatnam,Retail,Premium,Credit Card,2021-11-22,26-35,South
179,950e877b-2f7a-4462-b6dd-94916b035689,41,M,Gujarat,Ahmedabad,Retail,Mass,Personal Loan,2025-12-09,36-45,West
180,466f0f33-7149-4ff9-b368-23a0ef11bf38,28,F,Maharashtra,Pune,Retail,High Value,Personal Loan,2021-06-24,26-35,West
181,7919c39d-5908-4d2a-bb69-d33d0e0b8d11,33,M,Gujarat,Ahmedabad,Retail,Premium,Credit Card,2022-03-24,26-35,West
182,e5a3ef7f-adbc-4c83-8468-2d3536b6cdb5,40,F,Gujarat,Ahmedabad,SME,Mass,Credit Card,2021-10-25,36-45,West
183,4ffe4e85-2550-44b6-88ca-6f64c31c634d,48,M,Telangana,Hyderabad,Retail,Mass,Home Loan,2023-09-13,46-55,South
184,d6832bbf-4a53-4200-a5f3-a7c05cfccf45,41,F,Karnataka,Bengaluru,Retail,High Value,Personal Loan,2023-11-25,36-45,South
185,e078ddf3-e988-44c8-8fc6-880044bfe51f,53,F,Maharashtra,Pune,Retail,Premium,Personal Loan,2022-11-15,46-55,West
186,97f7c135-5d9f-4078-91e1-0aa1fa8fb235,36,M,Tamil Nadu,Chennai,Retail,High Value,Home Loan,2022-06-28,36-45,South
187,18d1e27f-25da-46e2-9d24-4f48ad02fd84,34,M,Delhi,Delhi,Retail,Mass,Personal Loan,2020-12-08,26-35,North
188,4fc17089-ec89-4934-b58b-84b540cfb23c,70,M,Maharashtra,Mumbai,Retail,High Value,Home Loan,2021-04-23,65+,West
189,b1ea904a-1534-474b-a7a4-07a2b78b56b2,42,F,Maharashtra,Pune,Retail,Mass,Personal Loan,2025-09-16,36-45,West
190,f1ce184a-c0e7-485c-a9ef-8cc6bc10fe63,29,M,Karnataka,Bengaluru,Retail,Premium,Credit Card,2025-03-04,26-35,South
