call_key,call_id,customer_key,campaign_key,bot_key,call_start_time,date_key,attempt_number,connection_status,days_past_due_at_call,dpd_bucket_at_call,outstanding_amount_at_call,risk_segment_at_call,fallback_flag,confidence_score,sentiment,sentiment_score,escalation_flag,call_duration_seconds,call_end_time,task_started_flag,task_completed_flag,resolution_flag,containment_flag,ptp_flag,ptp_amount,payment_status,payment_amount,hangup_reason,call_status,intent_key,identity_verified_flag
7615,74dc4cea-1cb0-4b53-b11e-04ea25efa681,3,3,3,2026-01-02 16:57:57,20260102,1,Connected,0.0,0,0.0,Low,1,0.793215418049429,Positive,0.4904935339871654,0,65,2026-01-02 16:59:02,1,1,1,1,0,,,,Customer Hung Up,Completed,13.0,1
9733,8f540ad4-b2da-4eaf-9882-b106e7b428bd,3,3,4,2026-04-01 13:01:19,20260401,2,No Answer,0.0,0,0.0,Low,0,,,,0,6,2026-04-01 13:01:25,0,0,0,0,0,,,,Network Drop,Failed,,0
1995,e2fcde7b-587d-4062-875e-ce1fb888623e,3,4,4,2026-04-13 18:11:51,20260413,1,Voicemail,0.0,0,0.0,Low,0,,,,0,9,2026-04-13 18:12:00,0,0,0,0,0,,,,Voicemail,Failed,,0
9637,34a4c3bf-02a9-44f8-a300-7164f2b72080,3,4,6,2026-06-26 19:35:19,20260626,2,Connected,0.0,0,0.0,Low,1,0.587010188928599,Neutral,-0.1340326532428344,1,39,2026-06-26 19:35:58,1,0,0,0,0,,,,Transferred to Agent,Failed,2.0,1
5322,595365f6-edb1-4f04-b06a-96f3ddece322,3,5,6,2026-02-26 12:15:21,20260226,1,Connected,0.0,0,0.0,Low,1,0.7737577677512374,Neutral,0.0884316310431218,0,68,2026-02-26 12:16:29,1,1,1,1,0,,,,Customer Hung Up,Completed,16.0,1
8602,cadde06c-84b5-4a23-a7d5-7e7196e57665,3,5,6,2026-03-12 10:23:37,20260312,2,Connected,115.0,90+,58263.18135407104,High,1,0.4904685358482568,Neutral,-0.2767962303204966,1,67,2026-03-12 10:24:44,1,0,0,0,0,,,,Transferred to Agent,Failed,1.0,1
267,38a6a515-2a7f-4613-97fb-c04230512f9f,3,7,1,2026-06-27 10:59:02,20260627,1,No Answer,2.0,1-30,107325.26214968284,Low,0,,,,0,11,2026-06-27 10:59:13,0,0,0,0,0,,,,Network Drop,Failed,,0
6330,bd844ac7-ad7c-4ff5-bd75-332568fa5f62,4,1,3,2026-04-12 14:00:31,20260412,1,Connected,0.0,0,0.0,Low,0,0.8296167021187033,Neutral,0.1455002690063134,0,46,2026-04-12 14:01:17,1,1,1,1,0,,,,Customer Hung Up,Completed,15.0,1
5744,bab33204-5893-4643-8e2d-9d42674bec87,4,5,4,2026-03-13 18:32:18,20260313,1,Voicemail,0.0,0,0.0,Low,0,,,,0,7,2026-03-13 18:32:25,0,0,0,0,0,,,,Voicemail,Failed,,0
1741,27b5a92a-bdfc-4f80-9245-7a8060080586,4,7,4,2026-02-17 14:43:33,20260217,1,Connected,0.0,0,0.0,Low,1,0.7941702500920284,Positive,0.4385884759039857,0,23,2026-02-17 14:43:56,1,1,0,1,0,,,,System Error,Failed,4.0,1
2416,b8797f84-8333-4a65-8fcb-fde948b49de5,5,3,2,2026-01-28 09:50:15,20260128,1,No Answer,66.0,61-90,34952.11536355147,High,0,,,,0,11,2026-01-28 09:50:26,0,0,0,0,0,,,,Network Drop,Failed,,0
9884,9ac10121-ee59-46cd-b37f-5561330a2359,5,4,4,2026-01-18 18:59:58,20260118,1,Voicemail,0.0,0,0.0,Low,0,,,,0,1,2026-01-18 18:59:59,0,0,0,0,0,,,,Voicemail,Failed,,0
2907,87a335e3-ca5d-4ade-9e45-77317ec1ebb8,5,5,4,2026-01-27 19:51:30,20260127,1,Connected,0.0,0,0.0,Low,0,0.8892385627221463,Positive,0.5177418514896681,0,93,2026-01-27 19:53:03,1,1,1,1,0,,,,Customer Hung Up,Completed,18.0,1
5774,7df4052b-b961-4cad-8d2e-e2022d867e22,5,5,2,2026-04-12 16:45:27,20260412,2,No Answer,0.0,0,0.0,Low,0,,,,0,4,2026-04-12 16:45:31,0,0,0,0,0,,,,Network Drop,Failed,,0
7851,d1408570-c85b-43b7-8538-c9eaaf6a7508,5,6,1,2026-05-31 17:39:24,20260531,1,Connected,0.0,0,0.0,Low,1,0.7025758862958601,Neutral,0.1405539202059799,0,89,2026-05-31 17:40:53,1,1,1,1,0,,,,Customer Hung Up,Completed,12.0,1
34,150710aa-9f67-4fdd-b79e-051b16d9365a,5,6,4,2026-06-09 08:36:06,20260609,2,No Answer,0.0,0,0.0,Low,0,,,,0,9,2026-06-09 08:36:15,0,0,0,0,0,,,,Network Drop,Failed,,0
9670,fabef11d-f40f-4811-bbb5-2cc65f363254,6,2,1,2026-03-16 09:47:26,20260316,1,No Answer,0.0,0,0.0,Low,0,,,,0,12,2026-03-16 09:47:38,0,0,0,0,0,,,,Network Drop,Failed,,0
5446,bf34ed81-8d72-4d77-9981-0c4af4bfc153,6,2,5,2026-06-14 15:17:30,20260614,2,Connected,0.0,0,0.0,Low,1,0.8204652128356349,Positive,0.4330637899584393,0,87,2026-06-14 15:18:57,1,0,0,0,0,,,,System Error,Failed,10.0,1
5086,3ddfd026-706f-4bae-8073-434fd71164e7,6,3,4,2026-03-05 11:35:23,20260305,1,Connected,0.0,0,0.0,Low,0,0.8212763289353787,Neutral,0.101133040877192,0,49,2026-03-05 11:36:12,1,1,1,1,0,,,,Customer Hung Up,Completed,6.0,1
9020,6565f57e-5c6d-490c-b21f-b1b4e29078ca,6,3,5,2026-03-07 10:31:52,20260307,2,Failed,51.0,31-60,73625.0826875338,Medium,0,,,,0,11,2026-03-07 10:32:03,0,0,0,0,0,,,,Network Drop,Failed,,0
7468,5b043449-12b5-498a-b85e-7b6d0fd41279,6,4,3,2026-03-24 10:16:23,20260324,1,No Answer,0.0,0,0.0,Low,0,,,,0,11,2026-03-24 10:16:34,0,0,0,0,0,,,,Network Drop,Failed,,0
5042,285b3334-db01-497a-ac0b-13d865cec5d0,6,7,2,2026-02-22 18:47:54,20260222,1,Connected,0.0,0,0.0,Low,0,0.8742299957692566,Positive,0.697982923991049,0,56,2026-02-22 18:48:50,1,1,1,1,0,,,,Customer Hung Up,Completed,5.0,1
703,b0dd996d-ea50-46a8-891a-0a1277423514,6,7,4,2026-06-30 11:38:33,20260630,2,No Answer,0.0,0,0.0,Low,0,,,,0,3,2026-06-30 11:38:36,0,0,0,0,0,,,,Network Drop,Failed,,0
8965,ed370ca8-53d8-4c24-9734-ace758d7b1d0,7,1,1,2026-02-26 12:13:57,20260226,1,Connected,0.0,0,0.0,Low,0,0.1843163125572776,Negative,-0.3718407105829943,0,41,2026-02-26 12:14:38,1,1,1,1,1,1.0,Success,1.0,Customer Hung Up,Completed,17.0,1
5083,885d3d16-af40-4c4c-8227-ee8298ccbecd,7,1,2,2026-02-26 17:17:06,20260226,2,Connected,0.0,0,0.0,Low,1,0.7624708244501086,Neutral,0.1464914564144369,0,64,2026-02-26 17:18:10,1,1,1,1,1,1.0,Success,1.0,Customer Hung Up,Completed,8.0,1
8118,31fa87d0-aa07-4b18-9fdf-1fd193e37180,7,1,1,2026-04-14 11:34:38,20260414,3,No Answer,0.0,0,0.0,Low,0,,,,0,8,2026-04-14 11:34:46,0,0,0,0,0,,,,Network Drop,Failed,,0
3638,4f5835be-3a3e-4439-b2de-36b5cab60a33,7,2,1,2026-01-10 17:57:36,20260110,1,No Answer,0.0,0,0.0,Low,0,,,,0,1,2026-01-10 17:57:37,0,0,0,0,0,,,,Network Drop,Failed,,0
5936,7a4b912c-4ffc-4e00-8b8f-51df4eb00dcd,7,4,3,2026-01-29 08:41:18,20260129,1,Connected,0.0,0,0.0,Low,0,0.9197075173674574,Positive,0.4328213667324684,0,78,2026-01-29 08:42:36,1,1,1,1,0,,,,Customer Hung Up,Completed,1.0,1
8531,64317b21-2bd1-40b1-8e55-1d4498f33696,8,1,5,2026-03-03 12:08:56,20260303,1,Connected,41.0,31-60,46776.965601887816,Medium,0,0.4349422336609285,Neutral,-0.1307891253789813,0,29,2026-03-03 12:09:25,1,1,1,1,0,,,,Customer Hung Up,Completed,2.0,1
4675,c2a8e67f-084f-4327-9db0-c251b7638a48,8,2,2,2026-01-03 17:29:17,20260103,1,Connected,0.0,0,0.0,Low,1,0.6958225284144403,Neutral,-0.2114742947996768,0,88,2026-01-03 17:30:45,1,1,1,1,1,1.0,Success,1.0,Customer Hung Up,Completed,4.0,1
2801,c57e870d-e2bf-44b6-996d-bd04bd91a41a,8,2,5,2026-03-16 09:11:19,20260316,2,Connected,0.0,0,0.0,Low,1,0.6738188476515994,Neutral,-0.0713282190981557,1,81,2026-03-16 09:12:40,1,0,0,0,0,,,,Transferred to Agent,Failed,18.0,1
8917,5e427340-85d7-4110-a2f5-120ae142bb33,8,2,4,2026-05-01 18:40:02,20260501,3,No Answer,0.0,0,0.0,Low,0,,,,0,9,2026-05-01 18:40:11,0,0,0,0,0,,,,Network Drop,Failed,,0
1284,320677e4-949d-43f9-bd46-4fc5e5367c84,8,2,3,2026-05-03 13:38:06,20260503,4,Connected,105.0,90+,28848.24382059066,High,1,0.5819124995554821,Negative,-0.3624352140725624,1,46,2026-05-03 13:38:52,1,0,0,0,0,,,,Transferred to Agent,Failed,2.0,1
466,259456c5-adb8-4594-9dc5-1a35806aa33b,8,3,3,2026-01-06 12:03:32,20260106,1,Connected,0.0,0,0.0,Low,1,0.7059954790227487,Neutral,0.0698410849977016,0,67,2026-01-06 12:04:39,1,1,1,1,0,,,,Customer Hung Up,Completed,14.0,1
3783,e72f6298-663f-4375-8343-3923b6f58f23,8,3,4,2026-02-01 14:34:57,20260201,2,No Answer,41.0,31-60,39861.35112161481,Medium,0,,,,0,10,2026-02-01 14:35:07,0,0,0,0,0,,,,Network Drop,Failed,,0
4568,63f0664c-9a67-4b55-8cdc-dfbc8b981af8,8,3,6,2026-03-13 08:53:27,20260313,3,Connected,24.0,1-30,39893.60710371527,Low,1,0.5904792950984438,Neutral,-0.0942799411356476,1,41,2026-03-13 08:54:08,1,1,1,0,0,,,,Transferred to Agent,Completed,2.0,1
5190,17dd336c-e765-4bb6-96f3-746a58193925,8,4,4,2026-05-24 11:02:51,20260524,1,Connected,27.0,1-30,80829.28683634648,Low,0,0.9559907454655324,Positive,0.7279118643670701,0,28,2026-05-24 11:03:19,1,1,0,1,0,,,,System Error,Failed,1.0,1
8436,b5fac531-b1cb-4e7a-82ff-89a9578b4570,8,6,2,2026-04-13 09:24:08,20260413,1,Connected,73.0,61-90,36830.62623798977,High,1,0.6871708011763867,Neutral,0.0705623185329296,1,55,2026-04-13 09:25:03,1,0,0,0,0,,,,Transferred to Agent,Failed,5.0,1
8213,cd3ae589-322c-4418-95be-31aef8da1638,8,6,5,2026-05-04 10:21:48,20260504,2,Connected,96.0,90+,39731.85524178464,High,1,0.2455628214970246,Negative,-0.3478200602233426,1,82,2026-05-04 10:23:10,1,0,0,0,0,,,,Transferred to Agent,Failed,2.0,1
8217,9217c659-03de-4e89-8808-14c4349a61f1,8,7,5,2026-01-16 13:44:33,20260116,1,Connected,0.0,0,0.0,Low,1,0.3668119788737235,Negative,-0.3203605355050191,1,72,2026-01-16 13:45:45,1,0,1,0,0,,,,Transferred to Agent,Completed,17.0,1
3753,81a706a3-8a9e-4622-84d3-87902eb94c3f,9,2,3,2026-05-13 19:48:01,20260513,1,Connected,0.0,0,0.0,Low,0,0.7630561148816781,Neutral,0.2712753363599036,0,33,2026-05-13 19:48:34,1,1,1,1,1,1.0,Success,1.0,Customer Hung Up,Completed,18.0,1
9069,00dd6301-7964-4f93-acb2-a75cf589b4e4,9,5,1,2026-03-09 12:08:23,20260309,1,No Answer,0.0,0,0.0,Low,0,,,,0,12,2026-03-09 12:08:35,0,0,0,0,0,,,,Network Drop,Failed,,0
8696,5bd02b45-90b3-4da5-9008-fba5df0f142c,9,6,6,2026-05-10 10:36:01,20260510,1,No Answer,0.0,0,0.0,Low,0,,,,0,4,2026-05-10 10:36:05,0,0,0,0,0,,,,Network Drop,Failed,,0
2400,791b1df0-2dc3-4230-9a19-52d806464ae0,9,6,4,2026-05-21 12:05:11,20260521,2,Connected,0.0,0,0.0,Low,0,0.7512298793389278,Neutral,0.2841837465556012,0,16,2026-05-21 12:05:27,1,1,1,1,0,,,,Customer Hung Up,Completed,17.0,1
9741,6ed3b66c-abee-491d-8923-3fe3cd6ad446,9,7,3,2026-01-23 13:46:48,20260123,1,Connected,0.0,0,0.0,Low,0,0.9397902128792358,Positive,0.3617708800827162,0,54,2026-01-23 13:47:42,1,1,1,1,0,,,,Customer Hung Up,Completed,11.0,1
35,e58a17aa-d67e-460f-b9de-18075f56dfd8,10,2,1,2026-03-27 17:04:53,20260327,1,Connected,0.0,0,0.0,Low,1,0.7894022156323314,Positive,0.4599727908628611,0,52,2026-03-27 17:05:45,1,1,1,1,0,,,,Customer Hung Up,Completed,7.0,1
5500,c29a08d4-c821-4d9c-9205-c0f1552c96ed,10,4,2,2026-04-15 09:59:58,20260415,1,Connected,0.0,0,0.0,Low,1,0.7882159317899502,Positive,0.441010228420253,0,57,2026-04-15 10:00:55,1,1,1,1,0,,,,Customer Hung Up,Completed,19.0,1
4616,8d8afe2f-29dc-4626-8bfd-2dba492d8ff2,11,2,2,2026-02-19 09:45:32,20260219,1,Connected,10.0,1-30,66338.47013722717,Low,1,0.7061135443988582,Positive,0.394493246591757,0,45,2026-02-19 09:46:17,1,1,1,1,0,,,,Customer Hung Up,Completed,2.0,1
3462,c2190fff-bc4f-4105-a7d2-6937af1b97a0,12,2,2,2026-01-04 08:06:06,20260104,1,Connected,0.0,0,0.0,Low,1,0.7672969159691775,Positive,0.3209821788922694,1,57,2026-01-04 08:07:03,1,0,0,0,0,,,,Transferred to Agent,Failed,7.0,1
2604,95689594-2d5d-4422-8da1-19444af139fd,12,2,5,2026-03-07 16:21:54,20260307,2,Connected,10.0,1-30,61605.12648424308,Low,1,0.726181804614158,Neutral,0.1970944215016555,0,65,2026-03-07 16:22:59,1,1,1,1,1,60069.43,Failed,,Customer Hung Up,Completed,13.0,1
7552,e396ef3a-0751-4593-88a2-fd5f35dcddad,12,2,4,2026-04-07 09:33:57,20260407,3,No Answer,90.0,61-90,1000.0,High,0,,,,0,2,2026-04-07 09:33:59,0,0,0,0,0,,,,Network Drop,Failed,,0
9535,235099f3-b0ee-406d-99a8-e20da4013f36,12,2,1,2026-04-14 14:06:32,20260414,4,Connected,60.0,31-60,26123.878073445623,Medium,1,0.3054538413246968,Negative,-0.5151964017738886,1,50,2026-04-14 14:07:22,1,0,0,0,0,,,,Transferred to Agent,Failed,6.0,1
6078,94209b01-6612-4d91-8c1b-a47d66404c1d,12,2,2,2026-05-07 14:37:32,20260507,5,Connected,0.0,0,0.0,Low,1,0.6766577753692168,Neutral,0.0682425934842783,1,25,2026-05-07 14:37:57,1,0,0,0,1,1.0,Failed,,Transferred to Agent,Failed,14.0,1
9065,10ffdd38-e447-48c3-a1ba-017137935076,12,3,4,2026-05-30 19:09:16,20260530,1,Voicemail,0.0,0,0.0,Low,0,,,,0,0,2026-05-30 19:09:16,0,0,0,0,0,,,,Voicemail,Failed,,0
9714,4d9e8dea-bc03-4049-bfbd-8e027289710b,12,4,1,2026-04-12 11:48:55,20260412,1,No Answer,0.0,0,0.0,Low,0,,,,0,9,2026-04-12 11:49:04,0,0,0,0,0,,,,Network Drop,Failed,,0
9284,26738f99-af0b-4e93-b12c-57bfab64a92d,12,5,2,2026-01-03 08:52:18,20260103,1,Connected,0.0,0,0.0,Low,1,0.4389836322879661,Negative,-0.4936681454819752,1,49,2026-01-03 08:53:07,1,0,0,0,0,,,,Transferred to Agent,Failed,17.0,1
3518,6fb69517-e6fb-488d-b546-b4badc41db2d,12,5,2,2026-03-07 14:12:58,20260307,2,No Answer,37.0,31-60,75254.3892310717,Medium,0,,,,0,10,2026-03-07 14:13:08,0,0,0,0,0,,,,Network Drop,Failed,,0
8470,29143733-6692-486e-add0-9dcb87f79f4c,12,5,2,2026-03-11 19:23:44,20260311,3,No Answer,62.0,61-90,76031.83593767829,High,0,,,,0,1,2026-03-11 19:23:45,0,0,0,0,0,,,,Network Drop,Failed,,0
8728,1d819e90-41ce-4988-8ae9-7bc264949b72,12,6,6,2026-05-18 17:05:54,20260518,1,Connected,0.0,0,0.0,Low,1,0.4082663933003069,Neutral,0.0187117519529935,0,25,2026-05-18 17:06:19,1,0,0,0,0,,,,System Error,Failed,18.0,1
5436,7bd43a8d-a16c-4f70-9601-80878706c5a8,12,6,5,2026-06-16 12:51:26,20260616,2,No Answer,97.0,90+,60898.06078936013,High,0,,,,0,10,2026-06-16 12:51:36,0,0,0,0,0,,,,Network Drop,Failed,,0
8407,c364c2b5-e493-42a4-ba80-f889a1d48243,13,1,5,2026-01-29 18:57:12,20260129,1,Failed,0.0,0,0.0,Low,0,,,,0,13,2026-01-29 18:57:25,0,0,0,0,0,,,,Network Drop,Failed,,0
6095,b6266cf2-d2d3-490d-b3a9-91514863a20b,13,1,6,2026-02-07 18:35:39,20260207,2,Connected,65.0,61-90,59170.88692422817,High,1,0.2353964665249873,Negative,-0.5426581407403955,1,67,2026-02-07 18:36:46,1,0,0,0,0,,,,Transferred to Agent,Failed,3.0,1
9361,5a92b166-8143-4b50-93a6-2899368a869b,13,1,1,2026-03-19 19:29:10,20260319,3,Voicemail,4.0,1-30,40153.619567303496,Low,0,,,,0,4,2026-03-19 19:29:14,0,0,0,0,0,,,,Voicemail,Failed,,0
9681,0d9ecfdf-da69-42d7-bd2b-a68d96356f11,13,2,4,2026-01-12 18:21:48,20260112,1,No Answer,0.0,0,0.0,Low,0,,,,0,2,2026-01-12 18:21:50,0,0,0,0,0,,,,Network Drop,Failed,,0
5623,f78145a4-ec24-4263-8348-04192e2581dc,13,7,3,2026-01-29 14:02:54,20260129,1,Connected,0.0,0,0.0,Low,0,0.8447688687165454,Neutral,0.2479028754993352,0,79,2026-01-29 14:04:13,1,1,1,1,0,,,,Customer Hung Up,Completed,18.0,1
109,b5895f8e-0e42-4dcc-bb46-61f4c329bee4,14,3,3,2026-01-03 19:59:29,20260103,1,Connected,45.0,31-60,38735.30811102663,Medium,1,0.858987123930413,Neutral,0.218076104649785,0,43,2026-01-03 20:00:12,1,1,1,1,0,,,,Customer Hung Up,Completed,19.0,1
3522,e7453496-913c-4aaf-a37d-c61757b6a943,14,4,1,2026-05-19 08:22:55,20260519,1,No Answer,0.0,0,0.0,Low,0,,,,0,11,2026-05-19 08:23:06,0,0,0,0,0,,,,Network Drop,Failed,,0
1176,9049226c-62a6-44cb-8479-9d8bad5682a7,14,6,2,2026-06-16 08:00:06,20260616,1,Connected,2.0,1-30,69220.09557141717,Low,0,0.8587594800964523,Positive,0.3389462305845105,0,33,2026-06-16 08:00:39,1,1,1,1,0,,,,Customer Hung Up,Completed,5.0,1
7152,bdfe7d38-fad4-4589-816a-fab82db4ca2c,14,7,2,2026-05-06 14:29:47,20260506,1,Connected,0.0,0,0.0,Low,1,0.7572034293079353,Positive,0.3434987526583659,0,37,2026-05-06 14:30:24,1,1,1,1,0,,,,Customer Hung Up,Completed,1.0,1
2727,95599f55-f404-4240-abe2-519da55761cd,15,1,6,2026-04-16 13:45:18,20260416,1,Voicemail,0.0,0,0.0,Low,0,,,,0,6,2026-04-16 13:45:24,0,0,0,0,0,,,,Voicemail,Failed,,0
186,7f9aa04b-7c7d-40c8-9439-034b6389c5d4,15,4,4,2026-02-27 16:36:03,20260227,1,Connected,0.0,0,0.0,Low,0,0.7008194554563911,Positive,0.5378649687377222,0,9,2026-02-27 16:36:12,1,1,1,1,0,,,,Customer Hung Up,Completed,17.0,1
5587,f76b6972-82ab-4918-b20a-54d305d06ad9,15,5,2,2026-04-20 08:44:55,20260420,1,Connected,0.0,0,0.0,Low,1,0.706897728541985,Neutral,0.1415195284620416,1,76,2026-04-20 08:46:11,1,0,0,0,0,,,,Transferred to Agent,Failed,18.0,1
7477,71480683-eb2e-4b52-a7a3-7f79a401a792,15,5,2,2026-06-27 15:00:12,20260627,2,Connected,85.0,61-90,64627.70142321423,High,0,0.5289234426040752,Neutral,0.0802922199420463,0,46,2026-06-27 15:00:58,1,1,1,1,0,,,,Customer Hung Up,Completed,11.0,1
973,517ced61-b311-494b-8d17-5abf44aa0d3a,15,6,5,2026-01-19 10:11:07,20260119,1,No Answer,0.0,0,0.0,Low,0,,,,0,8,2026-01-19 10:11:15,0,0,0,0,0,,,,Network Drop,Failed,,0
533,9ecf3306-04c1-4316-a5d0-08db98261804,16,4,4,2026-03-24 09:31:17,20260324,1,Voicemail,96.0,90+,16537.389433775534,High,0,,,,0,5,2026-03-24 09:31:22,0,0,0,0,0,,,,Voicemail,Failed,,0
2076,ef35c400-a7aa-4f7d-b866-29e7986876bf,16,5,2,2026-05-05 17:05:30,20260505,1,Connected,65.0,61-90,75590.750280166,High,1,0.4099742718432111,Negative,-0.4284309739461996,1,123,2026-05-05 17:07:33,1,0,0,0,0,,,,Transferred to Agent,Failed,6.0,1
4179,83709519-3c01-4d4e-a57d-1f535ef83b9f,16,6,6,2026-06-12 12:39:47,20260612,1,Connected,61.0,61-90,4990.093563484617,High,1,0.255006059027227,Negative,-0.4743213477486397,1,42,2026-06-12 12:40:29,1,0,0,0,0,,,,Transferred to Agent,Failed,18.0,1
515,7eb88eae-13d4-4378-bffd-67a9e8949d7f,17,1,1,2026-03-17 08:44:52,20260317,1,Connected,0.0,0,0.0,Low,0,0.4039204797246846,Neutral,0.0403650559889516,0,38,2026-03-17 08:45:30,1,1,1,1,0,,,,Customer Hung Up,Completed,15.0,1
8938,a2d563ea-bdf2-4933-b136-3807bb03ef4a,17,4,4,2026-06-24 14:15:42,20260624,1,Connected,0.0,0,0.0,Low,1,0.911567270130343,Positive,0.5455664020123582,0,33,2026-06-24 14:16:15,1,1,1,1,0,,,,Customer Hung Up,Completed,13.0,1
1140,d3da9768-58b1-4c0e-b447-c40fddba3d39,18,4,4,2026-06-06 14:52:52,20260606,1,Connected,26.0,1-30,55232.61773560271,Low,1,0.926263379069152,Positive,0.4276605320458656,0,33,2026-06-06 14:53:25,1,1,1,1,0,,,,Customer Hung Up,Completed,10.0,1
3974,1486218d-131d-48d5-9a0c-fdf1552ba371,18,4,5,2026-06-30 10:42:54,20260630,2,No Answer,0.0,0,0.0,Low,0,,,,0,13,2026-06-30 10:43:07,0,0,0,0,0,,,,Network Drop,Failed,,0
3823,943e9d2f-e11d-488d-8268-4cb2aa196bf6,18,5,5,2026-03-31 17:54:23,20260331,1,Connected,0.0,0,0.0,Low,1,0.8378525653320381,Neutral,0.2030774768619998,0,35,2026-03-31 17:54:58,1,0,0,0,0,,,,System Error,Failed,9.0,1
9628,603f1a0a-ca98-449f-b927-020c20b6a7db,18,6,4,2026-05-02 10:53:41,20260502,1,No Answer,91.0,90+,48329.17529974133,High,0,,,,0,8,2026-05-02 10:53:49,0,0,0,0,0,,,,Network Drop,Failed,,0
43,39efdd78-5250-4c24-9cee-7fa4cddfda79,18,7,6,2026-04-27 18:15:53,20260427,1,No Answer,0.0,0,0.0,Low,0,,,,0,13,2026-04-27 18:16:06,0,0,0,0,0,,,,Network Drop,Failed,,0
8225,b9da406f-f494-4898-b65c-14b22b9e9267,19,3,1,2026-03-23 09:18:28,20260323,1,Voicemail,0.0,0,0.0,Low,0,,,,0,8,2026-03-23 09:18:36,0,0,0,0,0,,,,Voicemail,Failed,,0
